id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
35664,Flat inner city Stockholm Sodermalm,153339,Dag,,Södermalms,59.31758670846345,18.02719899860419,Entire home/apt,1027,3,31,2016-08-31,0.40,1,363
42808,Quiet room right DOWNTOWN Stockholm,186922,Nina,,Norrmalms,59.34341676455758,18.052976871929584,Private room,783,1,59,2018-09-27,0.59,1,365
53895,Modern Architecture in Stockholm,252075,Eva,,Skarpnäcks,59.270535095097706,18.11230513821318,Private room,1027,3,7,2017-05-28,0.07,1,0
145320,In the middle of it all - with a view!,703851,Kim,,Södermalms,59.313635885356,18.05255947973872,Private room,1225,2,54,2018-11-17,3.00,1,41
155685,Hornstull with water view!,748592,Robert,,Södermalms,59.31534580890994,18.03277434115707,Entire home/apt,3089,4,22,2015-12-01,0.25,1,88
164448,Double room in central Stockholm with Wi-Fi,784312,Li,,Södermalms,59.31268294099721,18.062578886169565,Private room,603,3,252,2018-10-24,2.83,2,151
170651,Petit Charm Rooftop next to heaven,814021,Marie,,Södermalms,59.31567961455027,18.031384733684085,Entire home/apt,711,3,26,2018-09-22,0.29,1,288
189520,Cozy room near Älvsjö Exhibition,914316,Ea,,Enskede-Årsta-Vantörs,59.26412595969489,18.02236381862121,Private room,504,1,19,2017-05-25,0.22,11,364
198592,2 room apartment in Södermalm,969565,Cenk,,Södermalms,59.30730525382882,18.08142338778124,Entire home/apt,1198,1,0,,,1,0
201241,Bedroom acces bathroom and kitchen,983621,Jc,,Farsta,59.25797433526253,18.088777138294382,Private room,252,36,69,2017-01-21,0.85,1,292
206221,Doubleroom at Södermalm &trendySofo,1022374,Elisabeth,,Södermalms,59.312259186389056,18.079424254737354,Shared room,648,3,68,2018-10-22,0.80,1,338
208662,"Central, large and 3 balconies",1027549,William,,Kungsholmens,59.334814104329425,18.03018491122974,Private room,900,1,50,2018-08-17,0.57,12,0
220233,Central apartment perfect for two,1137208,Martina,,Norrmalms,59.33948126422573,18.03550502476374,Entire home/apt,882,3,0,,,1,0
220851,One room in appartement,412283,Fredric,,Kungsholmens,59.33375986902346,18.038162546861788,Private room,504,3,36,2018-11-19,0.41,2,361
242188,Single room in central Stockholm with Wi-Fi,784312,Li,,Södermalms,59.31346816395951,18.061058086398,Private room,558,2,248,2018-11-09,3.01,2,151
242871,Large apartment (room) with separate bathrooms,1027549,William,,Kungsholmens,59.336763431272196,18.031220032796856,Private room,900,1,24,2018-09-09,0.30,12,0
259025,sufficient large room Stockholm nr1,1361093,Ali,,Rinkeby-Tensta,59.386819673292734,17.922764164807283,Private room,180,60,60,2015-11-08,0.70,2,317
259722,Near shopping-IT Business(Bunk bed),1261494,Marcelo,,Rinkeby-Tensta,59.41002938243884,17.936604073699336,Private room,234,21,21,2018-09-14,0.26,1,323
273906,Penthouse in central Stockholm,1432722,Rodrigo,,Södermalms,59.30414306796505,18.10679522735455,Entire home/apt,1801,6,8,2018-07-07,0.10,1,21
274876,Designer apartment innercity Sthlm,1437153,Emma,,Södermalms,59.31849000418968,18.09536385688699,Entire home/apt,3035,3,91,2018-09-30,1.14,1,349
278311,Entire apt (some weeks this summer),1452838,Linnéa,,Farsta,59.245338353250155,18.08728553534048,Entire home/apt,414,1,49,2018-09-30,0.58,1,364
283446,Comfort Stay @ Kista - Super Value!,1476562,Vidhatri,,Rinkeby-Tensta,59.41533315285253,17.914648436033225,Private room,297,2,104,2018-10-28,1.34,1,18
295833,"2 nice and quit b&b rooms, in central Stockholm",1527146,Max,,Södermalms,59.31431727493657,18.066128602890345,Private room,1297,3,56,2018-11-04,0.68,3,299
296857,"A nice B&B room, central Stockholm",1527146,Max,,Södermalms,59.3146405301356,18.067616965835985,Private room,702,4,57,2018-10-15,0.70,3,297
299154,Cosy apartment central at Sodermalm,1541953,Daniel,,Södermalms,59.317666771761914,18.071374294358378,Entire home/apt,1000,2,422,2018-11-18,6.38,1,240
301680,one cosy double room for rent,1554143,Anitta,,Älvsjö,59.27778233953858,17.992263324062208,Private room,747,1,34,2018-07-16,0.44,2,364
302496,"Spacious, bright, unique apartment",1557657,Seta,,Norrmalms,59.34517820897217,18.06044176989631,Entire home/apt,2404,7,48,2018-09-29,0.61,1,322
313195,"Design, style & vintage by Odenplan",956221,David,,Norrmalms,59.34763046007353,18.050151422229657,Entire home/apt,864,3,45,2017-08-13,0.59,1,62
338470,Apartment in the heart of Stockholm,1719449,Gustaf,,Östermalms,59.33741566601032,18.088731351869924,Entire home/apt,1180,3,20,2016-07-05,0.25,1,0
343925,Modern central 1 bedroom flat ,1744774,Annika,,Kungsholmens,59.336604174302686,18.029417753222802,Entire home/apt,756,2,34,2015-05-06,0.42,1,0
347192,"CENTRAL, COSY AND SPACIOUS",1759769,T,,Södermalms,59.31656541422357,18.076751814282975,Entire home/apt,982,3,39,2018-08-18,0.80,1,27
357012,Gorgeous sunny apt with sea views,1214515,Calle,,Södermalms,59.31973047145045,18.039992193659376,Entire home/apt,1702,3,16,2018-07-26,0.20,1,111
368952,Small house,746396,Madeleine,,Skarpnäcks,59.24728736781068,18.178085042409357,Entire home/apt,351,1,18,2017-05-03,0.23,1,179
370744,charming spot at famous Södermalm,1355847,Lina,,Södermalms,59.31408840604368,18.05785277770129,Entire home/apt,1999,2,11,2017-08-02,0.36,2,0
380611,Bright room next to the train station and nature!,1322033,Robban & Anna,,Enskede-Årsta-Vantörs,59.25378933954475,18.029634623994834,Private room,270,7,21,2018-06-21,0.26,1,153
385701,"Townhouse in Stockholm, Farsta",1930434,Alex,,Farsta,59.250719487669244,18.096102539761176,Entire home/apt,792,7,7,2017-08-02,0.17,1,0
438129,Bunk bed close by Alvsjo Exhibition,914316,Ea,,Enskede-Årsta-Vantörs,59.263766748577225,18.024491453943217,Private room,351,1,16,2018-09-15,0.20,11,364
442837,Modern single room in Stockholm with Wi-fi,2200827,Jo,,Hägersten-Liljeholmens,59.30914142171611,18.023863835646523,Private room,558,2,85,2018-11-08,1.07,1,269
444252,Studio Apartment,2206725,Christopher,,Norrmalms,59.34151654435556,18.0615593502097,Entire home/apt,648,8,0,,,2,160
448259,One single room conveniently nr3,1361093,Ali,,Rinkeby-Tensta,59.387314302463245,17.923486243510496,Private room,153,120,5,2014-10-13,0.07,2,94
451155,Spacious house in Stockholm,2240860,Malin,,Enskede-Årsta-Vantörs,59.280206353026536,18.053548795877237,Entire home/apt,1198,3,21,2018-08-04,0.28,1,159
453692,Bright Apartment in Stockholm,1868675,Lovisa,,Södermalms,59.31598684631304,18.034584868350716,Entire home/apt,1000,3,22,2018-09-23,0.28,1,76
472015,Lovely big apt in SOFO  balcony ,1578681,Lotta,,Södermalms,59.31330555853523,18.074136252024157,Entire home/apt,1891,5,6,2013-07-30,0.08,1,24
475409,CHARMING 1 Bed Room in City Center (share),2356697,Cor,,Södermalms,59.31440244445066,18.083112626518222,Private room,459,3,44,2017-06-29,0.56,1,323
478105,• ARTISTIC PENTHOUSE NEAR CITY/long & short term •,1756346,Christian,,Hägersten-Liljeholmens,59.30143433088371,17.99247946935021,Entire home/apt,1189,6,30,2018-08-25,0.45,1,334
488427,"Sofo, perfect with kids!",2320343,Elisabeth,,Södermalms,59.31523582122136,18.084563613608704,Entire home/apt,1801,5,29,2018-10-31,0.37,1,11
494569,18min by subway from the Citycenter,2443169,Andrew,,Skarpnäcks,59.268562076096146,18.135310480399532,Entire home/apt,774,3,2,2018-02-28,0.04,1,296
499887,"Stylish apartment in best location, Stockholm City",2467153,Filip,,Kungsholmens,59.333230000102354,18.042996552260888,Entire home/apt,2296,1,28,2018-10-11,0.36,1,89
506801,Design flat in central Stockholm,2089698,Simon,,Norrmalms,59.34033269698334,18.034490160725106,Entire home/apt,2999,4,25,2018-06-16,0.33,1,323
507316,"Central Stockholm, 5th floor 102 m2",2500394,Paul,,Norrmalms,59.34961167011342,18.05714811827204,Entire home/apt,1396,7,3,2014-08-18,0.04,1,0
507990,Cozy studio apartment close to city,2503632,Anna,,Kungsholmens,59.33674523157058,18.026641166013622,Entire home/apt,7996,1,0,,,1,0
510398,Stockholm Duplex w/ Terraces & Views,373584,Ric,,Södermalms,59.30672297419391,18.106900071233444,Private room,891,3,6,2018-10-07,0.11,1,90
514133,Fresh City Apartm - available 24th June and on,2532579,Mira,,Norrmalms,59.33905607134348,18.044977486517826,Entire home/apt,1297,1,5,2018-11-01,0.07,1,292
514210,Room  with Forrest view,2532825,Margareta,,Farsta,59.25690859225033,18.116147009505994,Private room,585,2,44,2018-10-18,0.58,1,56
526170,Family friendly in central location,2586439,Magnus,,Östermalms,59.34616210403408,18.096069408192605,Entire home/apt,1396,4,10,2015-09-21,0.13,1,0
530454,Unique loft apartment,2605165,Jakob,,Enskede-Årsta-Vantörs,59.280980722307596,18.090730843029668,Entire home/apt,945,3,8,2018-01-02,0.51,1,0
536283,Studio apartment right in the city,2624970,Paolo,,Södermalms,59.3121076544681,18.07801177619159,Entire home/apt,1252,3,84,2018-09-29,1.11,1,364
536691,Charming flat in Södermalm,2636194,Cecilia,,Södermalms,59.320796791696665,18.055004871839127,Entire home/apt,1027,4,75,2018-10-09,0.97,1,355
543045,"1 room studioflat, Hornstull, STHLM",2670016,Anton,,Södermalms,59.319290135683374,18.032144709625097,Entire home/apt,1000,4,26,2016-05-15,0.56,1,0
553914,Cozy studio 5 minutes from Central Station,2722006,Sibelle,,Norrmalms,59.33759568009356,18.049081159198515,Entire home/apt,549,2,14,2018-07-16,0.70,1,0
556363,Spacious apartment at top location,2735709,Lennard,,Norrmalms,59.343429469870365,18.037335365188888,Entire home/apt,1117,3,38,2018-11-02,0.89,1,0
560308,Great 2 bedroom apartment Stockholm,2755002,Checkin,,Bromma,59.336792375437504,17.976820458341383,Entire home/apt,1756,2,6,2018-11-05,0.08,4,365
565912,"Romantic house with garden, central",2782963,Patrik,,Hägersten-Liljeholmens,59.3156876379764,18.004679626125156,Entire home/apt,2260,4,17,2018-08-12,0.26,1,0
568193,Bright large studio in Stockholm,2755002,Checkin,,Östermalms,59.34617340655029,18.108888616702885,Entire home/apt,1531,1,4,2018-10-23,0.20,4,27
568341,Junior 1 bedroom Apartment Stockhol,2755002,Checkin,,Kungsholmens,59.33603265374737,18.030047159329584,Entire home/apt,1531,2,3,2017-07-10,0.08,4,364
575371,"Quiet room in a big central flat, private bathroom",2829979,Tomas,,Södermalms,59.31078086998372,18.060564744152032,Private room,792,3,17,2017-09-09,0.59,1,0
581243,Great Room in City Center,2860556,Edwin,,Östermalms,59.34043681976407,18.091541791172197,Private room,486,1,444,2018-08-30,5.74,1,0
583593,Luxury apartment at absolut best location in city,2875970,Daniel,,Östermalms,59.33936536173947,18.08066088726659,Entire home/apt,2521,2,82,2018-09-29,1.08,1,323
593146,"Room, nice area, 7 km-Stockholm C",2928443,Kickan,,Älvsjö,59.28018391455691,17.989235082719986,Entire home/apt,441,2,46,2018-08-15,0.60,1,0
608672,Nice central city flat for 1-2 pers,3016996,Karl J.,,Norrmalms,59.33889683351324,18.056521606172144,Entire home/apt,648,2,318,2018-11-11,4.16,1,276
610034,Beautiful central apt for 2 persons,3024661,Ida,,Södermalms,59.30874592963912,18.066229408925693,Entire home/apt,1000,1,8,2013-08-20,0.10,1,0
